25712172,V,SRL,IIVWR,,L,,N,,M,,K
25712211,V,SRL,IIMTW,-09,C
25712251,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.6,0.9,1.3
25712380,V,SRL,AGHDM,288.6,M
25712397,V,GPS,GPGSV,3,1,12,51,59,170,49,12,77,302,46,05,57,137,50,29,19,304,39
25712424,V,SRL,AGHDG,288.6,,,,
25712461,V,SRL,AGRSA,00,A,,
25712543,V,GPS,GPGSV,3,2,12,27,15,205,42,10,54,092,46,09,17,207,40,02,54,020,48
25712689,V,GPS,GPGSV,3,3,12,30,43,316,46,04,14,046,26,17,00,096,00,21,00,239,00
25712781,V,SRL,AGHSC,,T,,M
25712889,V,SRL,IIVPW,,,,
25712944,V,SRL,IIMWV,348,R,11.78,N,A
25712950,V,GPS,GPRMC,130004,A,2531.3369,N,11104.4274,W,000.4,189.2,120310,010.4,E
25712960,V,SRL,IIHDM,,M
25713002,V,SRL,PTTKW,012,P,012,B,00.0
25713036,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25713092,V,GPS,GPGGA,130004,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25713116,V,SRL,IIDBT,020.8,f,006.3,M,003.4,F
25713169,V,SRL,IIVWR,,L,,N,,M,,K
25713187,V,SRL,AGGLL,,N,,E,,V
25713208,V,SRL,IIMTW,-09,C
25713210,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.6,0.9,1.2
25713356,V,GPS,GPGSV,3,1,12,51,59,170,50,12,77,302,47,05,57,137,51,29,19,304,39
25713380,V,SRL,AGHDM,289.0,M
25713424,V,SRL,AGHDG,289.0,,,,
25713461,V,SRL,AGRSA,00,A,,
25713502,V,GPS,GPGSV,3,2,12,27,14,205,41,10,54,092,44,09,17,207,42,02,54,020,48
25713601,V,SRL,AGRMC,,V,,N,,E,,,,,W
25713648,V,GPS,GPGSV,3,3,12,30,43,316,46,04,14,046,25,17,00,096,00,21,00,239,00
25713884,V,SRL,IIVPW,,,,
